epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,582.925,1.08965,0.93566,1.17231,0.7557,0.67713,0.74035,0.47963,1.18621,1.0224,1.17095,0.0011882,0.0011882,0.0011882
43,597.679,1.10532,0.94281,1.17603,0.77259,0.6861,0.7364,0.48106,1.16695,1.05966,1.15491,0.0011684,0.0011684,0.0011684
44,613.107,1.10592,0.9425,1.16884,0.78917,0.70852,0.75314,0.49165,1.16581,0.9884,1.13308,0.0011486,0.0011486,0.0011486
45,628.159,1.09946,0.90197,1.16697,0.78981,0.69058,0.76558,0.49721,1.14915,0.93104,1.14633,0.0011288,0.0011288,0.0011288
46,642.572,1.08154,0.91068,1.15183,0.77426,0.69058,0.74731,0.4863,1.17059,0.98206,1.15725,0.001109,0.001109,0.001109
47,657.594,1.06968,0.89414,1.14741,0.76298,0.72177,0.77178,0.51419,1.18205,0.95164,1.14757,0.0010892,0.0010892,0.0010892
48,672.802,1.08371,0.90518,1.14749,0.75916,0.71076,0.76577,0.50177,1.17866,0.9829,1.14578,0.0010694,0.0010694,0.0010694
49,687.722,1.06058,0.8807,1.15475,0.75823,0.68386,0.74164,0.49561,1.17278,1.01643,1.15008,0.0010496,0.0010496,0.0010496
50,703.052,1.03782,0.86941,1.13137,0.78602,0.69283,0.75895,0.49189,1.19037,1.07348,1.15824,0.0010298,0.0010298,0.0010298
51,717.998,1.05058,0.86388,1.14733,0.78605,0.72197,0.78264,0.51813,1.14627,0.92608,1.12711,0.00101,0.00101,0.00101
52,731.176,1.05902,0.86683,1.13696,0.76234,0.70481,0.75143,0.49017,1.16821,0.97331,1.12925,0.0009902,0.0009902,0.0009902
53,744.998,1.03643,0.85347,1.13616,0.77659,0.68386,0.74869,0.49506,1.14293,0.95279,1.13609,0.0009704,0.0009704,0.0009704
