epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.794,1.42172,2.4212,1.35013,0.37225,0.33184,0.28334,0.15928,1.44918,2.81184,1.30255,0.000661064,0.000661064,0.000661064
2,537.866,1.53095,1.97797,1.42782,0.4055,0.36996,0.27312,0.14202,1.72394,2.52416,1.50201,0.00131459,0.00131459,0.00131459
3,831.814,1.59953,1.87906,1.48257,0.65387,0.43049,0.47823,0.23533,1.56703,2.94258,1.39179,0.00195491,0.00195491,0.00195491
4,1099.95,1.56698,1.73087,1.46152,0.65161,0.54933,0.58747,0.32282,1.47929,2.28143,1.3333,0.0019406,0.0019406,0.0019406
5,1337.66,1.51676,1.63695,1.42788,0.60971,0.57175,0.60887,0.35217,1.43012,1.62962,1.26997,0.0019208,0.0019208,0.0019208
