epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9457,1.44528,2.54264,1.36325,0.62799,0.45067,0.50524,0.26603,1.54721,2.51184,1.30279,0.000661064,0.000661064,0.000661064
2,30.6717,1.52818,2.04959,1.42853,0.46733,0.42152,0.38331,0.16698,1.71304,2.31432,1.44402,0.00131459,0.00131459,0.00131459
3,44.8837,1.57972,1.87247,1.48245,0.06799,0.15471,0.03831,0.01895,1.87604,7.76928,1.76299,0.00195491,0.00195491,0.00195491
4,59.3796,1.55702,1.71689,1.43603,0.67008,0.48728,0.52988,0.31364,1.45484,1.66832,1.3141,0.0019406,0.0019406,0.0019406
5,73.9798,1.51569,1.64224,1.42373,0.65044,0.49231,0.55904,0.30814,1.46136,2.60884,1.36435,0.0019208,0.0019208,0.0019208
6,88.7091,1.47277,1.53526,1.3973,0.67862,0.58296,0.62256,0.35085,1.40009,1.5118,1.25965,0.001901,0.001901,0.001901
7,103.438,1.44779,1.47599,1.37339,0.72091,0.60814,0.65262,0.39098,1.33058,1.41531,1.27635,0.0018812,0.0018812,0.0018812
8,118.021,1.40592,1.40634,1.35063,0.71552,0.59213,0.6546,0.38042,1.41515,1.3511,1.25682,0.0018614,0.0018614,0.0018614
9,133.88,1.40306,1.40136,1.34102,0.65677,0.62108,0.64828,0.37815,1.40364,1.33318,1.30309,0.0018416,0.0018416,0.0018416
10,149.765,1.36866,1.36059,1.3261,0.71859,0.58296,0.67634,0.40659,1.35387,1.27156,1.22296,0.0018218,0.0018218,0.0018218
11,164.74,1.38453,1.3596,1.32297,0.67726,0.60762,0.65386,0.4045,1.33818,1.29016,1.20788,0.001802,0.001802,0.001802
12,179.352,1.33326,1.3114,1.31592,0.67986,0.58296,0.64887,0.39655,1.36826,1.36347,1.26312,0.0017822,0.0017822,0.0017822
13,194.069,1.35426,1.31096,1.3157,0.74007,0.64798,0.71861,0.44023,1.31904,1.203,1.22592,0.0017624,0.0017624,0.0017624
14,208.743,1.327,1.25979,1.30975,0.62565,0.68386,0.68801,0.41103,1.33285,1.25123,1.23411,0.0017426,0.0017426,0.0017426
15,223.253,1.31,1.25119,1.29946,0.70772,0.67265,0.69719,0.4383,1.29059,1.18092,1.21709,0.0017228,0.0017228,0.0017228
16,238.015,1.31217,1.23685,1.28368,0.73627,0.64798,0.70399,0.43675,1.28639,1.25298,1.20114,0.001703,0.001703,0.001703
17,252.689,1.3025,1.22518,1.28261,0.75352,0.65247,0.70172,0.44857,1.22053,1.20993,1.16093,0.0016832,0.0016832,0.0016832
18,267.274,1.30414,1.21905,1.27509,0.69145,0.65919,0.68987,0.43752,1.29285,1.22216,1.19905,0.0016634,0.0016634,0.0016634
19,281.886,1.28858,1.21254,1.27656,0.68275,0.6861,0.71927,0.46901,1.21649,1.15497,1.18325,0.0016436,0.0016436,0.0016436
20,296.49,1.24199,1.15187,1.24501,0.61713,0.54572,0.58259,0.37198,1.36008,1.44422,1.27463,0.0016238,0.0016238,0.0016238
21,311.27,1.24587,1.13889,1.24794,0.72391,0.63229,0.67419,0.44764,1.21921,1.16065,1.14925,0.001604,0.001604,0.001604
22,326.08,1.26347,1.16972,1.25119,0.75351,0.65247,0.71167,0.44259,1.27018,1.17657,1.19253,0.0015842,0.0015842,0.0015842
23,340.739,1.24031,1.14986,1.25598,0.77684,0.62441,0.72959,0.46116,1.22153,1.10651,1.18309,0.0015644,0.0015644,0.0015644
24,355.162,1.22961,1.1246,1.24438,0.74016,0.65247,0.7313,0.46861,1.2374,1.13049,1.17292,0.0015446,0.0015446,0.0015446
25,369.604,1.23009,1.10911,1.24595,0.74089,0.66816,0.70797,0.45225,1.26997,1.14841,1.18279,0.0015248,0.0015248,0.0015248
26,384.296,1.22674,1.12605,1.2326,0.73833,0.66428,0.73356,0.476,1.20346,1.05783,1.15864,0.001505,0.001505,0.001505
27,398.998,1.23001,1.10539,1.24262,0.76624,0.62556,0.7245,0.46829,1.20161,1.07112,1.14483,0.0014852,0.0014852,0.0014852
28,413.374,1.19281,1.07492,1.22117,0.75969,0.67713,0.7447,0.48227,1.19796,1.04439,1.14877,0.0014654,0.0014654,0.0014654
29,427.88,1.19149,1.06842,1.2228,0.72318,0.70852,0.74638,0.48069,1.1966,1.02732,1.16151,0.0014456,0.0014456,0.0014456
30,442.675,1.19456,1.1001,1.23027,0.81615,0.64126,0.75415,0.49002,1.1995,1.08098,1.14212,0.0014258,0.0014258,0.0014258
31,457.288,1.20513,1.05712,1.22757,0.71584,0.70852,0.7409,0.48004,1.20913,1.029,1.14288,0.001406,0.001406,0.001406
32,471.992,1.19389,1.08965,1.22726,0.70135,0.7287,0.75165,0.48104,1.18413,1.01193,1.15908,0.0013862,0.0013862,0.0013862
33,486.935,1.19279,1.05882,1.22282,0.7237,0.64798,0.71873,0.46863,1.17318,1.10542,1.1287,0.0013664,0.0013664,0.0013664
34,502.762,1.19505,1.05346,1.21215,0.72108,0.70138,0.74873,0.49926,1.16907,1.04271,1.13825,0.0013466,0.0013466,0.0013466
35,518.947,1.1597,1.0368,1.20628,0.72472,0.72016,0.75256,0.48397,1.17777,1.02289,1.1279,0.0013268,0.0013268,0.0013268
36,534.75,1.1566,1.02611,1.20295,0.70912,0.72422,0.73937,0.45731,1.25866,1.05402,1.18848,0.001307,0.001307,0.001307
37,550.542,1.1492,1.02732,1.1951,0.77419,0.68161,0.74508,0.4785,1.19569,1.01304,1.14952,0.0012872,0.0012872,0.0012872
38,566.583,1.15177,1.00019,1.19659,0.72324,0.70179,0.74474,0.49268,1.14874,1.03663,1.1419,0.0012674,0.0012674,0.0012674
