epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7678.67,1.11787,0.95709,1.17385,0.81739,0.64234,0.74705,0.49201,1.18364,0.99448,1.17442,0.0011882,0.0011882,0.0011882
43,7831.19,1.11774,0.95571,1.1735,0.80248,0.65919,0.73718,0.47738,1.17519,1.07352,1.13183,0.0011684,0.0011684,0.0011684
44,7983.6,1.11696,0.94804,1.17321,0.80542,0.67937,0.75843,0.50955,1.1148,0.99521,1.11093,0.0011486,0.0011486,0.0011486
45,8135.83,1.11415,0.95255,1.17002,0.76497,0.69058,0.74309,0.48847,1.18322,1.06692,1.16136,0.0011288,0.0011288,0.0011288
46,8287.95,1.09176,0.92418,1.1522,0.77236,0.69283,0.74041,0.48913,1.16988,0.98282,1.16252,0.001109,0.001109,0.001109
47,8440.41,1.10785,0.93489,1.16627,0.75873,0.68834,0.74971,0.48631,1.18714,1.02675,1.15592,0.0010892,0.0010892,0.0010892
48,8592.9,1.09974,0.9333,1.15955,0.81155,0.67937,0.77229,0.5133,1.11058,0.98737,1.11204,0.0010694,0.0010694,0.0010694
49,8745.62,1.0791,0.91674,1.15301,0.78907,0.69616,0.76446,0.51126,1.13381,0.97037,1.13274,0.0010496,0.0010496,0.0010496
50,8898.16,1.07872,0.90784,1.14448,0.79808,0.66464,0.75652,0.49764,1.14199,0.99923,1.1285,0.0010298,0.0010298,0.0010298
51,9050.75,1.07411,0.89601,1.14249,0.73841,0.74049,0.76914,0.50085,1.15269,0.98248,1.12142,0.00101,0.00101,0.00101
52,9203.56,1.07508,0.89864,1.1545,0.82697,0.6861,0.76429,0.4972,1.13603,0.95134,1.14565,0.0009902,0.0009902,0.0009902
53,9356.02,1.06461,0.88072,1.14767,0.79992,0.69919,0.76188,0.50856,1.14997,0.91593,1.15276,0.0009704,0.0009704,0.0009704
54,9508.6,1.0585,0.86264,1.12756,0.80804,0.69283,0.76258,0.50515,1.14704,0.97182,1.13966,0.0009506,0.0009506,0.0009506
55,9660.91,1.0622,0.87156,1.14211,0.7697,0.69507,0.76847,0.52399,1.12414,0.93317,1.12487,0.0009308,0.0009308,0.0009308
56,9813.27,1.0512,0.86062,1.13419,0.75325,0.70499,0.76968,0.51681,1.10666,0.93389,1.12341,0.000911,0.000911,0.000911
57,9965.66,1.03926,0.86272,1.12956,0.78718,0.7298,0.79076,0.52741,1.14618,0.90291,1.14551,0.0008912,0.0008912,0.0008912
58,10117.9,1.06443,0.85459,1.13884,0.77436,0.70791,0.7744,0.50712,1.1439,0.9304,1.15304,0.0008714,0.0008714,0.0008714
59,10270.4,1.04753,0.84848,1.13106,0.77276,0.69507,0.76664,0.50142,1.17429,0.94679,1.12481,0.0008516,0.0008516,0.0008516
60,10422.9,1.04862,0.84839,1.13027,0.78727,0.713,0.76738,0.51888,1.14703,0.91202,1.14042,0.0008318,0.0008318,0.0008318
61,10575.5,1.03001,0.84051,1.11813,0.81052,0.67265,0.76354,0.50754,1.13159,0.92708,1.1181,0.000812,0.000812,0.000812
62,10728.5,1.02976,0.82071,1.11533,0.78085,0.70303,0.76104,0.51364,1.15611,0.93212,1.14208,0.0007922,0.0007922,0.0007922
63,10881,1.02723,0.82977,1.12648,0.8116,0.6858,0.76661,0.5192,1.10804,0.92697,1.10703,0.0007724,0.0007724,0.0007724
64,11033.7,1.00465,0.80754,1.10207,0.79783,0.70628,0.7798,0.51872,1.15482,0.91674,1.1479,0.0007526,0.0007526,0.0007526
65,11187.1,0.99859,0.80419,1.10416,0.81051,0.7097,0.78352,0.52141,1.14842,0.9199,1.13024,0.0007328,0.0007328,0.0007328
66,11339.3,1.00778,0.79772,1.11109,0.81645,0.70852,0.78173,0.52719,1.10175,0.90853,1.10241,0.000713,0.000713,0.000713
67,11491.9,1.00697,0.80183,1.11112,0.81251,0.67713,0.76613,0.51155,1.18412,0.93742,1.16484,0.0006932,0.0006932,0.0006932
68,11644.3,1.01364,0.79525,1.11463,0.7912,0.72217,0.7727,0.52134,1.12976,0.89733,1.14026,0.0006734,0.0006734,0.0006734
69,11796.7,0.99582,0.801,1.10573,0.78391,0.70628,0.75914,0.5157,1.11549,0.92835,1.10688,0.0006536,0.0006536,0.0006536
70,11949.4,0.99575,0.77668,1.09536,0.82673,0.69283,0.77983,0.52895,1.10559,0.91303,1.10505,0.0006338,0.0006338,0.0006338
71,12101.9,0.97663,0.76273,1.09402,0.79098,0.69731,0.77756,0.52168,1.13014,0.89633,1.14377,0.000614,0.000614,0.000614
72,12254.2,0.97967,0.76659,1.09695,0.81973,0.67489,0.77323,0.52407,1.12048,0.89929,1.12859,0.0005942,0.0005942,0.0005942
